,method,feature_count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,External Features,34,0.5801923274993896,0.02733597070012471,1.5354053020477294,0.11783162520676123,0.8137559216312293,0.0018604228151385873,0.8224297149029869,0.001321831555093805,0.8086001924148858,0.0019125035942954385,0.7972123386559257,0.002778031978284448
1,VarianceThreshold,49,0.9100881576538086,0.00650584665041585,1.752018356323242,0.00864013135367767,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
2,SelectKBest_ANOVA,30,0.5851996421813965,0.0042179620525907464,1.047312116622925,0.007740274707344427,0.9906488112394592,0.00019334082025043045,0.9905149212190858,0.00019822089610989488,0.9905447779389268,0.00019926705872684456,0.9905253368738165,0.00019946202712547626
3,SelectKBest_chi2,30,0.5960599422454834,0.012026405564372098,1.0551933288574218,0.041607383900024504,0.9463180571876224,0.0032298659811658983,0.9453311459072268,0.0030800805634425017,0.9449830407681297,0.003319170198544691,0.9449039843513521,0.003363398171088371
4,SelectPercentile_ANOVA,34,0.664674186706543,0.012739009307890183,1.4035161495208741,0.02273819948224171,0.9898510076935016,0.0005890075591046813,0.9897024519737764,0.0006005157314079,0.9897034726748821,0.0006002113543286344,0.9896865372848745,0.0006048525512425976
5,SelectPercentile_chi2,34,0.6621346473693848,0.0058303996908655835,1.4290953159332276,0.00875490905411818,0.9890029488060661,0.00041364475355993403,0.9888273425698267,0.0004225288842467719,0.9888926857462439,0.00041774298533377613,0.9888501429637234,0.00042169610803519927
6,SelectFpr_ANOVA,49,0.937740421295166,0.012737054870246517,1.7835463047027589,0.014982865397357423,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
7,SelectFpr_chi2,49,0.9338517665863038,0.015747755350617943,1.7839999198913574,0.027597392657880544,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
