,classifier,feature count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,AdaBoost,6,18.930444478988647,0.5472644295373909,5.93439998626709,0.1903254902535823,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
1,BernoulliNB,6,0.863923168182373,0.08945112699021913,1.1828048706054688,0.12007648034530298,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
2,DecisionTree,6,1.6382920265197753,0.07869114860356602,0.7584031581878662,0.041126155500872924,0.9998728835480272,1.0542789184516238e-05,0.9998757990895086,1.0387457386738824e-05,0.9998691749533224,1.0869905831516177e-05,0.9998724630890354,1.063029457284106e-05
3,ExtraTrees,6,12.41349754333496,0.3468428530520364,4.719497203826904,0.026761500946234956,0.9907596686103659,0.00032061958518744783,0.9907759014320432,0.00031630379226142187,0.990488593792924,0.0003300248713088741,0.9905666851319127,0.00032894789388591386
4,GaussianNB,6,0.811275053024292,0.03457262010779286,1.9499086380004882,0.06576821761930628,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
5,GradientBoosting,6,852.873262834549,40.22085627820072,9.4802161693573,0.24313628362240047,0.9998462777790096,1.1882384165760398e-05,0.9998480046880136,1.2625468977550765e-05,0.9998443184851119,1.1181022918481168e-05,0.9998461518346596,1.1891643069541944e-05
6,KNeighbors,6,0.6770410537719727,0.09483207889317564,2962.8588066577913,133.5150064498348,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
7,LinearSVC,6,24.844322156906127,0.7114623317596805,0.6855762958526611,0.013847083573706643,0.9944142666045866,0.0014829736900911724,0.9945232855553954,0.0015154748547821582,0.9942756562148013,0.0014803124241724835,0.9943753728410683,0.0014959999469202467
8,RadiusNeighbors,6,0.5464620113372802,0.06529741989328547,1062.006183195114,7.040089412405756,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
9,RandomForest,6,23.92431402206421,0.3387401610249967,4.825516080856323,0.029748395015069505,0.9982746897841238,0.00030415576085449526,0.9982413834045211,0.0003093314208212712,0.9982240791924586,0.00031307774989026006,0.9982274236875686,0.00031318650068777056
