,feature_count,external_feature_count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,1,1,0.0632260799407959,0.0025342306255955295,0.5460418701171875,0.013404621392825576,0.5142507150300424,0.0,0.33653073710862014,0.0,0.5,0.0,0.37856290312746543,0.0
1,2,1,0.12817802429199218,0.0011165410471737822,0.6537709712982178,0.009098514798327255,0.7545577160425397,6.394376840067093e-05,0.6143834294980801,5.7284678900293644e-05,0.7473560892486287,6.581947432566168e-05,0.6614884346768636,5.011657492460569e-05
2,3,1,0.14219422340393068,0.001409758194878804,0.66499924659729,0.006048439018848878,0.7821467899400631,0.00010167634896897712,0.8285410297248639,0.00034273771609847346,0.7757547162422482,0.00010465923788075598,0.7287707104343524,0.00012894072000321845
3,4,1,0.15392684936523438,0.00190403743264755,0.6689141750335693,0.0034324357179307177,0.7991083372133414,0.0001916846152188501,0.8258851394842956,0.00030570150398150656,0.7932140257500232,0.00019730857988994172,0.7667308880810466,0.0002684187345228725
4,5,1,0.17151165008544922,0.001971505503817567,0.6726205825805665,0.007359806795520425,0.799360352969869,0.00019263043262329638,0.8263069574744586,0.0003051199393803018,0.7934734360290605,0.00019828215327588012,0.7671674465433682,0.0002704556871591554
5,6,2,0.1880870819091797,0.003783062988939276,0.7001251220703125,0.015003829083182749,0.9380384896791787,0.00014141449885770254,0.947868899811646,0.00012084666272735749,0.9362209086056694,0.00014556314576033477,0.9354014889560197,0.0001477852606806513
6,7,3,0.20577330589294435,0.002355532613934188,0.7187025547027588,0.010819951086531278,0.9380540097111056,0.00013925046919184707,0.9478869176846689,0.00011882815219527367,0.9362369472702075,0.00014338127868160526,0.9354170919060181,0.00014567291262145634
7,8,3,0.2145692825317383,0.005973065167040174,0.7421298027038574,0.012368277561390004,0.9380525316128269,0.00013923968222165754,0.9478859267525561,0.00011882561382727979,0.9362355101272476,0.00014337079409149715,0.9354157695398868,0.0001456618168234061
8,9,3,0.2304002285003662,0.0025929345857792314,0.7443274021148681,0.012103803615273499,0.9380540097111056,0.0001397594487469852,0.9478875772469845,0.00011942941001390436,0.9362370315951598,0.0001439057511191594,0.9354172398885181,0.0001461751629668443
9,10,3,0.242120361328125,0.005419915821399884,0.7578159809112549,0.013552766704189737,0.9380540097111056,0.0001397594487469852,0.9478875772469845,0.00011942941001390436,0.9362370315951598,0.0001439057511191594,0.9354172398885181,0.0001461751629668443
